page,text,p,start,end,type,description
256,"Sunday, August 20, 1922",1,0,23,DATE,Absolute or relative dates or periods
256,Salvemini,4,25,34,PERSON,"People, including fictional"
256,the evening,4,48,59,TIME,Times smaller than a day
256,Bay Scouts,4,87,97,ORG,"Companies, agencies, institutions, etc."
256,dozen,4,122,127,CARDINAL,Numerals that do not fall under another type
256,15,4,160,162,CARDINAL,Numerals that do not fall under another type
256,Italy,4,205,210,GPE,"Countries, cities, states"
256,England,4,279,286,GPE,"Countries, cities, states"
256,2,6,1,2,CARDINAL,Numerals that do not fall under another type
256,Santayana,7,5,14,PERSON,"People, including fictional"
256,Soliloquies in England,7,18,40,WORK_OF_ART,"Titles of books, songs, etc."
256,Gilbert Murray’s,8,0,16,PERSON,"People, including fictional"
