page,text,p,start,end,type,description
108,"Saturday, March 25, 1922",1,0,24,DATE,Absolute or relative dates or periods
108,Cairo,2,0,5,GPE,"Countries, cities, states"
108,B.B.,3,5,9,PERSON,"People, including fictional"
108,Museum,4,9,15,ORG,"Companies, agencies, institutions, etc."
108,M,4,27,28,PERSON,"People, including fictional"
108,_,4,28,29,PERSON,"People, including fictional"
108,_,4,29,30,PERSON,"People, including fictional"
108,_,4,30,31,PERSON,"People, including fictional"
108,B.B.,4,43,47,PERSON,"People, including fictional"
108,Theodore Davis,4,209,223,PERSON,"People, including fictional"
108,Cresswell,5,0,9,PERSON,"People, including fictional"
108,Mamelukes,5,43,52,PERSON,"People, including fictional"
108,Barkuk,5,60,66,PERSON,"People, including fictional"
108,Emir Kebir,5,71,81,PERSON,"People, including fictional"
108,Inam,5,90,94,PERSON,"People, including fictional"
108,1411,5,181,185,DATE,Absolute or relative dates or periods
108,Kaitbay,5,194,201,PERSON,"People, including fictional"
108,Quibells,6,9,17,PERSON,"People, including fictional"
108,Bonté,7,9,14,PERSON,"People, including fictional"
108,Maurice,7,16,23,PERSON,"People, including fictional"
