page,text,p,start,end,type,description,wikidata,viaf,loc,notes
172,"Sunday, May 28, 1922",1,0,20,DATE,Absolute or relative dates or periods,,,,
172,Tatti,2,31,36,PERSON,"People, including fictional",,,,
172,Settignano,3,0,10,PERSON,"People, including fictional",,,,
172,the two days,4,1,13,DATE,Absolute or relative dates or periods,,,,
172,Settignano,4,53,63,WORK_OF_ART,"Titles of books, songs, etc.",,,,
172,two,4,110,113,CARDINAL,Numerals that do not fall under another type,,,,
172,These two days,4,121,135,DATE,Absolute or relative dates or periods,,,,
172,Kahn,6,5,9,PERSON,"People, including fictional",,,,
172,Joshua,6,19,25,PERSON,"People, including fictional",,,,
172,B.B.,7,0,4,PERSON,"People, including fictional",,,,
