page,text,p,start,end,type,description
279,"Tuesday, September 12, 1922",1,0,27,DATE,Absolute or relative dates or periods
279,Ray,2,0,3,PERSON,"People, including fictional"
279,Duveens,2,35,42,PERSON,"People, including fictional"
279,Jo,2,47,49,PERSON,"People, including fictional"
279,hour,2,125,129,TIME,Times smaller than a day
279,10%,2,150,153,PERCENT,"Percentage, including ""%"""
279,5%,2,184,186,PERCENT,"Percentage, including ""%"""
279,Duveens,3,19,26,PERSON,"People, including fictional"
279,Ritz,3,34,38,ORG,"Companies, agencies, institutions, etc."
279,every second,3,113,125,TIME,Times smaller than a day
279,Carey,4,11,16,PERSON,"People, including fictional"
279,the Contes d’Hoffmann,4,29,50,FAC,"Buildings, airports, highways, bridges, etc."
