page,text,p,start,end,type,description
103,"Monday, March 20, 1922",1,0,22,DATE,Absolute or relative dates or periods
103,B.B. Nicky,3,0,10,PERSON,"People, including fictional"
103,Tombs,3,35,40,LOC,"Non-GPE locations, mountain ranges, bodies of water"
103,Temple,3,76,82,FAC,"Buildings, airports, highways, bridges, etc."
103,Sphinx,3,106,112,FAC,"Buildings, airports, highways, bridges, etc."
103,Dunham,4,13,19,PERSON,"People, including fictional"
103,the Harvard Exploration Mission,4,24,55,ORG,"Companies, agencies, institutions, etc."
103,Tombs,4,132,137,LOC,"Non-GPE locations, mountain ranges, bodies of water"
103,the III and IV dynasty,4,141,163,DATE,Absolute or relative dates or periods
103,Pyramids,4,199,207,LOC,"Non-GPE locations, mountain ranges, bodies of water"
103,Kitson,4,303,309,PERSON,"People, including fictional"
103,Kitson,4,319,325,PERSON,"People, including fictional"
103,Cresswell,4,346,355,PERSON,"People, including fictional"
