page,text,p,start,end,type,description
283,"Saturday, September 16, 1922",1,0,28,DATE,Absolute or relative dates or periods
283,B.B.,2,0,4,PERSON,"People, including fictional"
283,Valentiner,2,28,38,PERSON,"People, including fictional"
283,Schloss,2,46,53,FAC,"Buildings, airports, highways, bridges, etc."
283,Kunstgewerbe,2,74,86,ORG,"Companies, agencies, institutions, etc."
283,B.B.,2,124,128,PERSON,"People, including fictional"
283,Bode,2,143,147,PERSON,"People, including fictional"
283,Watteaus,2,166,174,PERSON,"People, including fictional"
283,Piero della Francesca,2,305,326,PERSON,"People, including fictional"
283,Valentiner,2,347,357,PERSON,"People, including fictional"
283,Karin,3,7,12,PERSON,"People, including fictional"
283,Adrian,3,17,23,PERSON,"People, including fictional"
283,Wannsee,3,48,55,FAC,"Buildings, airports, highways, bridges, etc."
283,Così fan Tutti,4,8,22,ORG,"Companies, agencies, institutions, etc."
283,the evening,4,26,37,TIME,Times smaller than a day
