page,text,p,start,end,type,description
303,"Friday, October 6, 1922",1,0,23,DATE,Absolute or relative dates or periods
303,Guido,3,16,21,PERSON,"People, including fictional"
303,Nicky,3,32,37,PERSON,"People, including fictional"
303,the day,3,81,88,DATE,Absolute or relative dates or periods
303,Sig. Chiesa’s,3,108,121,PERSON,"People, including fictional"
303,Guido,3,208,213,PERSON,"People, including fictional"
303,Riri Visconti-Venosta,3,247,268,PERSON,"People, including fictional"
303,Castonaso,3,274,283,WORK_OF_ART,"Titles of books, songs, etc."
303,Eliza,3,311,316,PERSON,"People, including fictional"
303,Florence,3,348,356,GPE,"Countries, cities, states"
