page,text,p,start,end,type,description,wikidata,viaf,loc,notes
310,"Friday, October 13, 1922",1,0,24,DATE,Absolute or relative dates or periods,,,,
310,all morning,3,18,29,TIME,Times smaller than a day,,,,
310,Pollak,3,31,37,PERSON,"People, including fictional",,,,
310,Brauer,3,42,48,PERSON,"People, including fictional",,,,
310,B.B.,3,59,63,PERSON,"People, including fictional",,,,
310,Brauer,3,86,92,PERSON,"People, including fictional",,,,
310,Karin,3,137,142,PERSON,"People, including fictional",,,,
310,1100,3,146,150,MONEY,"Monetary values, including unit",,,,
310,Cannon,3,191,197,PERSON,"People, including fictional",,,,
310,4000,3,201,205,MONEY,"Monetary values, including unit",,,,
310,Ross,3,248,252,PERSON,"People, including fictional",,,,
310,De Nicola,3,271,280,PERSON,"People, including fictional",,,,
310,Fra Angelico,3,299,311,PRODUCT,"Objects, vehicles, foods, etc. (not services)",,,,
310,4000,3,332,336,MONEY,"Monetary values, including unit",,,,
310,Lister-Kaye,3,345,356,PERSON,"People, including fictional",,,,
310,Manchester,3,396,406,GPE,"Countries, cities, states",,,,
310,14,3,429,431,DATE,Absolute or relative dates or periods,,,,
310,Louisa Montagu,3,438,452,PERSON,"People, including fictional",,,,
310,Stanley Hall’s,4,5,19,PERSON,"People, including fictional",,,,
310,Senescence,4,21,31,WORK_OF_ART,"Titles of books, songs, etc.",,,,
310,A. Marshall,5,20,31,PERSON,"People, including fictional",,,,
