page,text,p,start,end,type,description
049,"Wednesday, January 25, 1922",1,0,27,DATE,Absolute or relative dates or periods
049,Tombs of the Kings,3,19,37,FAC,"Buildings, airports, highways, bridges, etc."
049,Tombs of Nobles,3,63,78,FAC,"Buildings, airports, highways, bridges, etc."
049,Italian,3,124,131,NORP,Nationalities or religious or political groups
049,5th,3,193,196,ORDINAL,"""first"", ""second"", etc."
049,Italy,3,205,210,GPE,"Countries, cities, states"
049,the Early Dynasties,3,250,269,DATE,Absolute or relative dates or periods
049,XVIII,3,287,292,DATE,Absolute or relative dates or periods
049,the Ptolemaic time,3,354,372,DATE,Absolute or relative dates or periods
049,French,3,401,407,NORP,Nationalities or religious or political groups
049,XVIII,3,408,413,DATE,Absolute or relative dates or periods
