page,text,p,start,end,type,description
175,"Wednesday, May 31, 1922",1,0,23,DATE,Absolute or relative dates or periods
175,A day,3,0,5,DATE,Absolute or relative dates or periods
175,2.30 a. m.,3,142,152,TIME,Times smaller than a day
175,Vanderlip,4,4,13,PERSON,"People, including fictional"
175,Genoa,4,25,30,GPE,"Countries, cities, states"
175,two,4,60,63,CARDINAL,Numerals that do not fall under another type
175,Allen,4,78,83,PERSON,"People, including fictional"
175,Ross,4,95,99,PERSON,"People, including fictional"
175,Lindsays,4,108,116,PERSON,"People, including fictional"
175,India,4,122,127,GPE,"Countries, cities, states"
175,Ross,4,140,144,PERSON,"People, including fictional"
