page,text,p,start,end,type,description
109,"Sunday, March 26, 1922",1,0,22,DATE,Absolute or relative dates or periods
109,Khamseen,2,0,8,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
109,Scirocco,2,12,20,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
109,B.B.,3,0,4,PERSON,"People, including fictional"
109,Nicky,3,9,14,PERSON,"People, including fictional"
109,3,3,81,82,TIME,Times smaller than a day
109,Patricolo,3,83,92,PERSON,"People, including fictional"
109,the Mosque and Tomb of Kalaun,3,113,142,FAC,"Buildings, airports, highways, bridges, etc."
109,S. Simeon,3,195,204,WORK_OF_ART,"Titles of books, songs, etc."
109,San Vitale,3,246,256,ORG,"Companies, agencies, institutions, etc."
109,Ravenna,3,260,267,FAC,"Buildings, airports, highways, bridges, etc."
109,Tombs,3,335,340,FAC,"Buildings, airports, highways, bridges, etc."
109,El Azar,3,358,365,FAC,"Buildings, airports, highways, bridges, etc."
109,only half,3,378,387,CARDINAL,Numerals that do not fall under another type
109,18 up,3,479,484,DATE,Absolute or relative dates or periods
109,Turkish,3,558,565,NORP,Nationalities or religious or political groups
109,c. 1780,3,576,583,DATE,Absolute or relative dates or periods
109,European,3,609,617,NORP,Nationalities or religious or political groups
109,late Renaissance,3,641,657,DATE,Absolute or relative dates or periods
109,Villamarina,4,24,35,PERSON,"People, including fictional"
109,Kramers,4,59,66,PERSON,"People, including fictional"
109,Anderson,4,68,76,PERSON,"People, including fictional"
109,Storrs,6,9,15,PERSON,"People, including fictional"
109,Sulley,6,17,23,PERSON,"People, including fictional"
109,Jim Whitall,6,25,36,PERSON,"People, including fictional"
109,Bain,6,38,42,PERSON,"People, including fictional"
109,Geoffrey,6,44,52,PERSON,"People, including fictional"
109,Alys,6,80,84,PERSON,"People, including fictional"
109,Somers,6,86,92,PERSON,"People, including fictional"
109,Clarke,6,93,99,PERSON,"People, including fictional"
109,Ray,6,101,104,PERSON,"People, including fictional"
109,Barbara,6,106,113,PERSON,"People, including fictional"
