page,text,p,start,end,type,description
261,"Friday, August 25, 1922",1,0,23,DATE,Absolute or relative dates or periods
261,one,3,6,9,CARDINAL,Numerals that do not fall under another type
261,Barbara,4,7,14,PERSON,"People, including fictional"
261,Dermod,4,19,25,PERSON,"People, including fictional"
261,Ford,4,33,37,ORG,"Companies, agencies, institutions, etc."
261,the Meon River,4,58,72,LOC,"Non-GPE locations, mountain ranges, bodies of water"
261,Titchfield,4,76,86,GPE,"Countries, cities, states"
261,about 2 m[iles,4,123,137,QUANTITY,"Measurements, as of weight or distance"
261,Dermod,4,269,275,PERSON,"People, including fictional"
261,Michael,4,286,293,PERSON,"People, including fictional"
261,19,4,314,316,DATE,Absolute or relative dates or periods
261,Cave,5,25,29,PERSON,"People, including fictional"
