page,text,p,start,end,type,description
147,"Wednesday, May 3, 1922",1,0,22,DATE,Absolute or relative dates or periods
147,Ray,2,61,64,PERSON,"People, including fictional"
147,Ray,3,0,3,PERSON,"People, including fictional"
147,Leggett,4,5,12,PERSON,"People, including fictional"
147,Irene,4,43,48,PERSON,"People, including fictional"
147,Storrs,4,86,92,PERSON,"People, including fictional"
147,Hewitt,5,5,11,PERSON,"People, including fictional"
147,Anrep,5,109,114,PERSON,"People, including fictional"
147,Logan,6,0,5,PERSON,"People, including fictional"
147,Villa Price,6,29,40,FAC,"Buildings, airports, highways, bridges, etc."
147,Arcetri,6,44,51,FAC,"Buildings, airports, highways, bridges, etc."
