page,text,p,start,end,type,description
356,"Tuesday, November 28, 1922",1,0,26,DATE,Absolute or relative dates or periods
356,Kitsons,3,4,11,PERSON,"People, including fictional"
356,noon,3,20,24,TIME,Times smaller than a day
356,Keeley,3,31,37,PERSON,"People, including fictional"
356,2,3,42,43,CARDINAL,Numerals that do not fall under another type
356,Hooker,3,63,69,PERSON,"People, including fictional"
356,Villa Medici,3,103,115,FAC,"Buildings, airports, highways, bridges, etc."
356,La Doccia,3,120,129,FAC,"Buildings, airports, highways, bridges, etc."
356,BB,3,137,139,PERSON,"People, including fictional"
356,Geoffrey,4,5,13,PERSON,"People, including fictional"
356,Nicky,4,78,83,PERSON,"People, including fictional"
356,Sybil,4,106,111,PERSON,"People, including fictional"
356,Nicky,4,322,327,PERSON,"People, including fictional"
356,San Domenico,4,338,350,FAC,"Buildings, airports, highways, bridges, etc."
