page,text,p,start,end,type,description
342,"Tuesday, November 14, 1922",1,0,26,DATE,Absolute or relative dates or periods
342,Hopkinson,2,19,28,PERSON,"People, including fictional"
342,Vaughan,3,9,16,PERSON,"People, including fictional"
342,Cameron,4,28,35,PERSON,"People, including fictional"
342,5,4,44,45,TIME,Times smaller than a day
342,Elisina Igler,4,82,95,PERSON,"People, including fictional"
342,Gioia,4,113,118,PERSON,"People, including fictional"
342,Filippi,4,132,139,PERSON,"People, including fictional"
342,Leslie Hopkinson,4,158,174,PERSON,"People, including fictional"
342,Miss Vaughan,4,190,202,PERSON,"People, including fictional"
342,Tuscan,4,227,233,NORP,Nationalities or religious or political groups
342,Vaughan,4,299,306,PERSON,"People, including fictional"
