page,text,p,start,end,type,description
137,"Sunday, April 23, 1922",1,0,22,DATE,Absolute or relative dates or periods
137,Trevy,3,0,5,PERSON,"People, including fictional"
137,Florence,5,8,16,GPE,"Countries, cities, states"
137,6.30,5,20,24,TIME,Times smaller than a day
137,Giglioli,5,89,97,PERSON,"People, including fictional"
137,Alda,6,0,4,PERSON,"People, including fictional"
137,Bertie,6,9,15,PERSON,"People, including fictional"
137,the evening,6,27,38,TIME,Times smaller than a day
137,B.B.,7,0,4,PERSON,"People, including fictional"
137,11,8,1,3,CARDINAL,Numerals that do not fall under another type
137,Geoffrey,9,9,17,PERSON,"People, including fictional"
137,Blaydes,9,21,28,PERSON,"People, including fictional"
137,Karin,9,30,35,PERSON,"People, including fictional"
