page,text,p,start,end,type,description
157,"Saturday, May 13, 1922",1,0,22,DATE,Absolute or relative dates or periods
157,Logan,2,0,5,PERSON,"People, including fictional"
157,Naimi,3,0,5,PERSON,"People, including fictional"
157,Ray,4,0,3,PERSON,"People, including fictional"
157,Kirschbaumer,5,59,71,PERSON,"People, including fictional"
157,Beethoven III,5,104,117,PERSON,"People, including fictional"
157,Bach,5,122,126,PERSON,"People, including fictional"
157,Ray,6,0,3,PERSON,"People, including fictional"
157,10,6,12,14,TIME,Times smaller than a day
157,the Hague,6,24,33,GPE,"Countries, cities, states"
157,an International Conference of Women,6,37,73,EVENT,"Named hurricanes, battles, wars, sports events, etc."
157,11,7,1,3,CARDINAL,Numerals that do not fall under another type
157,Alys,8,0,4,PERSON,"People, including fictional"
157,Philomène,8,6,15,PERSON,"People, including fictional"
157,Watson,8,22,28,PERSON,"People, including fictional"
