page,text,p,start,end,type,description
149,"Friday, May 5, 1922",1,0,19,DATE,Absolute or relative dates or periods
149,Logan,2,0,5,PERSON,"People, including fictional"
149,Storrs,4,0,6,PERSON,"People, including fictional"
149,Villa Medici,4,18,30,FAC,"Buildings, airports, highways, bridges, etc."
149,Strongs,4,49,56,PERSON,"People, including fictional"
149,Logan,4,58,63,PERSON,"People, including fictional"
149,Irene,4,73,78,PERSON,"People, including fictional"
149,Alberto Ball,4,111,123,PERSON,"People, including fictional"
149,Logan,4,145,150,PERSON,"People, including fictional"
149,Storrs,4,156,162,PERSON,"People, including fictional"
149,[Margaret] Strong,4,190,207,PERSON,"People, including fictional"
149,_,5,5,6,PERSON,"People, including fictional"
149,_,5,6,7,PERSON,"People, including fictional"
149,_,5,7,8,PERSON,"People, including fictional"
149,ter,5,8,11,PERSON,"People, including fictional"
149,André Germain,5,42,55,PERSON,"People, including fictional"
149,A day,5,78,83,DATE,Absolute or relative dates or periods
149,Ball,5,104,108,PERSON,"People, including fictional"
149,K___z,6,17,22,PERSON,"People, including fictional"
149,Ray,6,38,41,PERSON,"People, including fictional"
149,Logan,6,47,52,PERSON,"People, including fictional"
149,BB,6,57,59,PERSON,"People, including fictional"
149,Novel,6,71,76,WORK_OF_ART,"Titles of books, songs, etc."
