page,text,p,start,end,type,description
390,Memoranda,1,0,9,PERSON,"People, including fictional"
390,Cairo,2,0,5,GPE,"Countries, cities, states"
390,Amos M. Sheldon,5,0,15,PERSON,"People, including fictional"
390,Athenaeum Club,5,17,31,ORG,"Companies, agencies, institutions, etc."
390,Ministry of Justice,6,0,19,ORG,"Companies, agencies, institutions, etc."
390,Anderson Gayer-,7,0,15,PERSON,"People, including fictional"
390,Ministry of the Interior,8,0,24,ORG,"Companies, agencies, institutions, etc."
390,Arminjon Pierre Juge aux Tribunaux Mixte,9,0,40,PERSON,"People, including fictional"
390,Continental,10,1,12,ORG,"Companies, agencies, institutions, etc."
390,de Cramer Maadi,11,5,20,PERSON,"People, including fictional"
390,Besozzo,11,22,29,PERSON,"People, including fictional"
390,Baxter James1,12,0,13,PERSON,"People, including fictional"
390,Sharia El Qadi Ed Fadl,12,14,36,PERSON,"People, including fictional"
390,Boyd Dr. ShepherdShepheard’s Hotel,13,0,34,FAC,"Buildings, airports, highways, bridges, etc."
390,Bazil HervéMusée de Caire,14,0,25,FAC,"Buildings, airports, highways, bridges, etc."
390,two,15,129,132,CARDINAL,Numerals that do not fall under another type
390,15,15,190,192,CARDINAL,Numerals that do not fall under another type
390,Sharia Hassan,16,20,33,PERSON,"People, including fictional"
390,el Akbar,16,35,43,PERSON,"People, including fictional"
390,Cairo,16,45,50,GPE,"Countries, cities, states"
390,Devonshire,18,0,10,GPE,"Countries, cities, states"
390,R H H LMeadi,18,16,28,PERSON,"People, including fictional"
390,Bramly,19,0,6,PERSON,"People, including fictional"
390,A. W. Jenning,19,16,29,PERSON,"People, including fictional"
390,Police School,19,30,43,ORG,"Companies, agencies, institutions, etc."
390,Dowson E. M. Gezira,21,0,19,PERSON,"People, including fictional"
390,Zamilek,21,21,28,GPE,"Countries, cities, states"
390,Cairo,22,34,39,GPE,"Countries, cities, states"
390,Robin,23,9,14,PERSON,"People, including fictional"
390,Graham  W. Murray,24,0,17,PERSON,"People, including fictional"
390,Dahabieh Dongola,24,18,34,PERSON,"People, including fictional"
390,Lacau PierreMusée de Caire,25,0,26,FAC,"Buildings, airports, highways, bridges, etc."
390,Sharia Saleh el Din Gezira,26,14,40,PERSON,"People, including fictional"
390,Davies,27,35,41,PERSON,"People, including fictional"
390,Hedderleys,27,55,65,PERSON,"People, including fictional"
390,Salsberg,28,57,65,PERSON,"People, including fictional"
