page,text,p,start,end,type,description
118,"Tuesday, April 4, 1922",1,0,22,DATE,Absolute or relative dates or periods
118,Cairo,2,0,5,GPE,"Countries, cities, states"
118,B.B.,3,0,4,PERSON,"People, including fictional"
118,Nicky,4,0,5,PERSON,"People, including fictional"
118,Museum,4,24,30,ORG,"Companies, agencies, institutions, etc."
118,Quibell,4,35,42,PERSON,"People, including fictional"
118,Devonshire,5,5,15,PERSON,"People, including fictional"
118,B.B.,5,143,147,PERSON,"People, including fictional"
118,Nicky,5,152,157,PERSON,"People, including fictional"
118,the Ma__a_i mosque,5,172,190,FAC,"Buildings, airports, highways, bridges, etc."
118,5.30,5,213,217,TIME,Times smaller than a day
118,Villamarina,5,234,245,PERSON,"People, including fictional"
118,Kramer,5,264,270,PERSON,"People, including fictional"
118,Adamoli,5,275,282,PERSON,"People, including fictional"
118,Negrotti,5,284,292,PERSON,"People, including fictional"
118,Italian,5,294,301,NORP,Nationalities or religious or political groups
118,Gallarza,5,315,323,PERSON,"People, including fictional"
118,Wilson,5,330,336,PERSON,"People, including fictional"
118,Neguib Pascha,5,345,358,PERSON,"People, including fictional"
118,Baxter,6,0,6,PERSON,"People, including fictional"
118,Truman,6,8,14,PERSON,"People, including fictional"
118,Anderson,6,19,27,PERSON,"People, including fictional"
118,Arab,7,0,4,NORP,Nationalities or religious or political groups
118,Colefax,8,14,21,PERSON,"People, including fictional"
118,Furness,8,23,30,PERSON,"People, including fictional"
118,Dunham,8,37,43,PERSON,"People, including fictional"
118,E. Thomas,8,58,67,PERSON,"People, including fictional"
