page,text,p,start,end,type,description
138,"Monday, April 24, 1922",1,0,22,DATE,Absolute or relative dates or periods
138,Logan,3,0,5,PERSON,"People, including fictional"
138,the 23rd,5,13,21,DATE,Absolute or relative dates or periods
138,Wells,6,46,51,PERSON,"People, including fictional"
138,Placci,6,56,62,PERSON,"People, including fictional"
138,Placci,6,100,106,PERSON,"People, including fictional"
138,Ministero degli Affari Inutili,6,190,220,ORG,"Companies, agencies, institutions, etc."
138,Janet,7,5,10,PERSON,"People, including fictional"
138,Charley Bell,7,15,27,PERSON,"People, including fictional"
138,½ hour,7,59,65,TIME,Times smaller than a day
138,Egyptian,8,233,241,NORP,Nationalities or religious or political groups
138,Everlasting Eternal Eating,8,319,345,WORK_OF_ART,"Titles of books, songs, etc."
138,Lucy Porter,9,9,20,PERSON,"People, including fictional"
138,Ray,9,22,25,PERSON,"People, including fictional"
