page,text,p,start,end,type,description
093,"Friday, March 10, 1922",1,0,22,DATE,Absolute or relative dates or periods
093,Abydos—3,2,14,22,GPE,"Countries, cities, states"
093,the XIX Dynasty,2,162,177,DATE,Absolute or relative dates or periods
093,Egypt,2,181,186,GPE,"Countries, cities, states"
093,the Tomb of Seti,2,253,269,FAC,"Buildings, airports, highways, bridges, etc."
093,Ramesi,2,347,353,PERSON,"People, including fictional"
093,Cha-en-het,2,358,368,PERSON,"People, including fictional"
093,Desiderio,2,383,392,PERSON,"People, including fictional"
093,Agostino da Duccio,2,397,415,PERSON,"People, including fictional"
093,Kings,3,69,74,NORP,Nationalities or religious or political groups
