page,text,p,start,end,type,description,wikidata,viaf,loc,notes
070,"Wednesday, February 15, 1922",1,0,28,DATE,Absolute or relative dates or periods,,,,
070,Luxor Temple,3,6,18,FAC,"Buildings, airports, highways, bridges, etc.",,,,
070,Nicky,3,20,25,PERSON,"People, including fictional",,,,
070,Plummer,3,43,50,PERSON,"People, including fictional",,,,
070,Eders,3,59,64,PERSON,"People, including fictional",,,,
070,B.B.,3,70,74,PERSON,"People, including fictional",,,,
070,Kitsons,3,95,102,PERSON,"People, including fictional",,,,
070,Medinet Habu,3,106,118,FAC,"Buildings, airports, highways, bridges, etc.",,,,
