page,text,p,start,end,type,description
096,"Monday, March 13, 1922",1,0,22,DATE,Absolute or relative dates or periods
096,Assiut,3,29,35,GPE,"Countries, cities, states"
096,Nile,5,117,121,LOC,"Non-GPE locations, mountain ranges, bodies of water"
096,European,5,236,244,NORP,Nationalities or religious or political groups
096,Egyptian Religion,6,257,274,WORK_OF_ART,"Titles of books, songs, etc."
096,two,6,378,381,CARDINAL,Numerals that do not fall under another type
096,Janet Dodge,7,9,20,PERSON,"People, including fictional"
096,Ross,7,27,31,PERSON,"People, including fictional"
096,Alys,7,33,37,PERSON,"People, including fictional"
096,Ray,7,39,42,PERSON,"People, including fictional"
096,Karin,7,47,52,PERSON,"People, including fictional"
096,Barbara,7,54,61,PERSON,"People, including fictional"
