page,text,p,start,end,type,description
284,"Sunday, September 17, 1922",1,0,26,DATE,Absolute or relative dates or periods
284,Hotel Bristol,2,24,37,ORG,"Companies, agencies, institutions, etc."
284,BB,3,10,12,PERSON,"People, including fictional"
284,Greek,3,38,43,NORP,Nationalities or religious or political groups
284,four,3,45,49,CARDINAL,Numerals that do not fall under another type
284,Demeter,3,71,78,WORK_OF_ART,"Titles of books, songs, etc."
284,three,3,81,86,CARDINAL,Numerals that do not fall under another type
284,Sicily,3,112,118,GPE,"Countries, cities, states"
284,Paris,3,149,154,GPE,"Countries, cities, states"
284,Herr Simon’s,4,16,28,PERSON,"People, including fictional"
284,Botticelli,4,122,132,PERSON,"People, including fictional"
284,Duveen,4,280,286,ORG,"Companies, agencies, institutions, etc."
284,American,4,332,340,NORP,Nationalities or religious or political groups
284,the afternoon,5,3,16,TIME,Times smaller than a day
284,Sarres,5,34,40,PERSON,"People, including fictional"
284,one,5,49,52,CARDINAL,Numerals that do not fall under another type
284,two,5,66,69,CARDINAL,Numerals that do not fall under another type
284,Karin,5,126,131,PERSON,"People, including fictional"
284,Adrian,5,136,142,PERSON,"People, including fictional"
