Page #	Entry	Type	Wikidata ID	Notes	Annotator	Visited place	BB visited place	
189	B.	person	Q359047		IT			
90	Bauer	organization	Q1025572		IT			
189	B.	person	Q359047		IT			
193	B.	person	Q359047		IT			
91	Pisanello	organization	Q311082		ERW			
193	B.	person	Q359047		IT			
198	B.	person	Q359047		IT			
198	B.	person	Q359047		IT			
198	B.	person	Q359047		IT			
92	Nationalgallerei	organization	Q162610	Berlin	ERW			
92	Pisanello fresco in Sant’Anastasia.	organization	Q733017	Verona	ERW			
199	B.	person	Q359047		IT			
201	B.	person	Q359047		IT			
202	B.	person	Q359047		IT			
202	B.	person	Q359047		IT			
202	B.	person	Q359047		IT			
208	B.	person	Q359047		IT			
93	Hotel Rheinischerhof	organization		No wikidata	IT			
93	Met Walter	organization			ERW			
209	B.	person	Q359047		IT			
209	B.	person	Q359047		IT			
211	B.	person	Q359047		IT			
212	B.	person	Q359047		IT			
212	B.	person	Q359047		IT			
214	B.	person	Q359047		IT			
215	B.	person	Q359047		IT			
94	de Lisle Adam	organization	Q366285		IT			
94	Met Walter  Cope	organization			ERW			
216	B.	person	Q359047		IT			
219	B.	person	Q359047		IT			
219	B.	person	Q359047		IT			
219	B.	person	Q359047		IT			
219	B.	person	Q359047		IT			
220	B.	person	Q359047		IT			
221	B.	person	Q359047		IT			
222	B.	person	Q359047		IT			
223	B.	person	Q359047		IT			
224	B.	person	Q359047		IT			
228	B.	person	Q359047		IT			
230	B.	person	Q359047		IT			
230	B.	person	Q359047		IT			
230	B.	person	Q359047		IT			
230	B.	person	Q359047		IT			
232	B.	person	Q359047		IT			
232	B.	person	Q359047		IT			
233	B.	person	Q359047		IT			
97	Bastei	organization	Q810577		IT			
97	Pötscha	location	Q383386	Potschappe	ERW	TRUE	FALSE	
97	Pötscha	location	Q383386	Potschappe	ERW	TRUE	FALSE	
97	Rathen	location	Q8224		ERW	TRUE	FALSE	
97	Shaudan	organization			ERW			
235	B.	person	Q359047		IT			
249	B.	person	Q359047		IT			
251	B.	person	Q359047		IT			
254	B.	person	Q359047		IT			
254	B.	person	Q359047		IT			
264	B.	person	Q359047		IT			
324	B. della Gatta	person	Q654579		IT			
98	Jacob and Rachel	art	Q50322185		ERW			
98	Jacob and Rachel, Palma	art	Q50322185		ERW			
98	Justice, Dosso	art	N/A	by Dosso Dossi	ERW			
98	Lotto	organization			ERW			
201	B. Felt	person	Q359047		IT			
