page,text,p,start,end,type,description
075,"Sunday, February 21, 1915",2,0,25,DATE,Absolute or relative dates or periods
075,Cecil Pinsent,3,0,13,PERSON,"People, including fictional"
075,Geoffrey Scott,3,15,29,PERSON,"People, including fictional"
075,Naomi,3,31,36,PERSON,"People, including fictional"
075,Cecil,5,2,7,PERSON,"People, including fictional"
075,Four months,5,47,58,DATE,Absolute or relative dates or periods
075,BB,5,140,142,PERSON,"People, including fictional"
075,Naima,6,0,5,PERSON,"People, including fictional"
075,Sweden,6,256,262,GPE,"Countries, cities, states"
075,Geoffrey,7,23,31,PERSON,"People, including fictional"
