page,text,p,start,end,type,description
384,"Monday, December 27, 1915",2,0,25,DATE,Absolute or relative dates or periods
384,Naima Lofroth,3,0,13,PERSON,"People, including fictional"
384,Julia,3,15,20,PERSON,"People, including fictional"
384,Warm and Sunny,4,0,14,PERSON,"People, including fictional"
384,3,5,0,1,CARDINAL,Numerals that do not fall under another type
384,4,5,8,9,CARDINAL,Numerals that do not fall under another type
384,BB,6,2,4,PERSON,"People, including fictional"
384,Sybil,6,10,15,PERSON,"People, including fictional"
384,Geoffrey,6,61,69,PERSON,"People, including fictional"
384,Julia,6,94,99,PERSON,"People, including fictional"
384,Lina,6,121,125,PERSON,"People, including fictional"
384,Gordon,6,130,136,PERSON,"People, including fictional"
384,Nello,6,138,143,PERSON,"People, including fictional"
384,Yoï,6,148,151,PERSON,"People, including fictional"
384,Yoï,6,185,188,PERSON,"People, including fictional"
384,Marcella,6,262,270,PERSON,"People, including fictional"
384,Geoffrey,6,283,291,PERSON,"People, including fictional"
384,well over 50,7,5,17,DATE,Absolute or relative dates or periods
