page,text,p,start,end,type,description,wikidata,viaf,loc,notes
383,"Sunday, December 26, 1915",2,0,25,DATE,Absolute or relative dates or periods,,,,
383,4,3,0,1,CARDINAL,Numerals that do not fall under another type,,,,
383,5,3,9,10,CARDINAL,Numerals that do not fall under another type,,,,
383,Julia,4,0,5,PERSON,"People, including fictional",,,,
383,Naima Lofroth,4,7,20,PERSON,"People, including fictional",,,,
383,Geoffrey Scott,4,22,36,PERSON,"People, including fictional",,,,
383,Naima,6,2,7,PERSON,"People, including fictional",,,,
383,Ross,6,26,30,PERSON,"People, including fictional",,,,
383,Julia,6,32,37,PERSON,"People, including fictional",,,,
383,Gordon,6,42,48,PERSON,"People, including fictional",,,,
383,Geoffrey,6,72,80,PERSON,"People, including fictional",,,,
383,BB,8,2,4,PERSON,"People, including fictional",,,,
383,Naima,8,21,26,PERSON,"People, including fictional",,,,
383,Geoffrey,8,39,47,PERSON,"People, including fictional",,,,
