page,text,p,start,end,type,description
062,"Monday, February 8, 1915",2,0,24,DATE,Absolute or relative dates or periods
062,Geoffrey,5,59,67,PERSON,"People, including fictional"
062,Greek,5,221,226,NORP,Nationalities or religious or political groups
062,Sybil,6,12,17,PERSON,"People, including fictional"
062,Yoï,7,0,3,PERSON,"People, including fictional"
062,Nello,7,8,13,PERSON,"People, including fictional"
062,Nello,8,17,22,PERSON,"People, including fictional"
062,Geoffrey,8,42,50,PERSON,"People, including fictional"
062,Geoffrey,8,103,111,PERSON,"People, including fictional"
062,Nello,8,163,168,PERSON,"People, including fictional"
062,Geoffrey,8,189,197,PERSON,"People, including fictional"
062,Giulianis,8,224,233,PERSON,"People, including fictional"
