page,text,p,start,end,type,description
124,"Sunday, April 11, 1915",2,0,22,DATE,Absolute or relative dates or periods
124,"Hotel d’Italia,",2,24,39,FAC,"Buildings, airports, highways, bridges, etc."
124,Urbino,2,40,46,GPE,"Countries, cities, states"
124,Ray,3,0,3,PERSON,"People, including fictional"
124,Pippa,3,5,10,PERSON,"People, including fictional"
124,Geoffrey Scott,3,12,26,PERSON,"People, including fictional"
124,Ray,6,0,3,PERSON,"People, including fictional"
124,Pippa,6,8,13,PERSON,"People, including fictional"
124,Assisi,6,22,28,GPE,"Countries, cities, states"
124,Geoffrey,6,35,43,PERSON,"People, including fictional"
124,Perugia,6,65,72,GPE,"Countries, cities, states"
124,Gubbio,6,113,119,GPE,"Countries, cities, states"
124,Urbino,6,136,142,GPE,"Countries, cities, states"
124,Patience,6,193,201,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
