page,text,p,start,end,type,description
320,"Sunday, October 24, 1915",2,0,24,DATE,Absolute or relative dates or periods
320,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
320,Naima,3,16,21,GPE,"Countries, cities, states"
320,Blackes,5,6,13,PERSON,"People, including fictional"
320,second,5,30,36,ORDINAL,"""first"", ""second"", etc."
320,French,5,49,55,NORP,Nationalities or religious or political groups
320,Balkan,6,50,56,NORP,Nationalities or religious or political groups
320,BB,7,2,4,PERSON,"People, including fictional"
320,Naima,7,9,14,PERSON,"People, including fictional"
320,Monte Morello,7,26,39,FAC,"Buildings, airports, highways, bridges, etc."
320,Geoffrey,7,45,53,PERSON,"People, including fictional"
320,Enniskillen,7,106,117,PERSON,"People, including fictional"
