page,text,p,start,end,type,description,wikidata,viaf,loc,notes
326,"Saturday, October 30, 1915",2,0,26,DATE,Absolute or relative dates or periods,,,,
326,Naima Lofroth,3,0,13,PERSON,"People, including fictional",,,,
326,noon,4,12,16,TIME,Times smaller than a day,,,,
326,Bernard,4,31,38,PERSON,"People, including fictional",,,,
326,Sybil,4,56,61,PERSON,"People, including fictional",,,,
326,Naima,4,63,68,PERSON,"People, including fictional",,,,
326,Aristea,4,84,91,PERSON,"People, including fictional",,,,
326,30000 francs,4,128,140,MONEY,"Monetary values, including unit",,,,
326,Villa Medici,5,30,42,FAC,"Buildings, airports, highways, bridges, etc.",,,,
326,1895,7,62,66,DATE,Absolute or relative dates or periods,,,,
326,BB,7,150,152,PERSON,"People, including fictional",,,,
