page,text,p,start,end,type,description
177,"Thursday, June 3, 1915",2,0,22,DATE,Absolute or relative dates or periods
177,Grand Hotel,2,24,35,FAC,"Buildings, airports, highways, bridges, etc."
177,Rome,2,36,40,GPE,"Countries, cities, states"
177,Sybil,3,0,5,PERSON,"People, including fictional"
177,Sulmona,3,38,45,GPE,"Countries, cities, states"
177,Parry,3,85,90,PERSON,"People, including fictional"
177,Tivoli,4,10,16,GPE,"Countries, cities, states"
177,Avezzano,4,21,29,GPE,"Countries, cities, states"
177,Tagliacozzo,4,31,42,GPE,"Countries, cities, states"
177,Carsoli,4,44,51,GPE,"Countries, cities, states"
177,Carsoli,4,53,60,GPE,"Countries, cities, states"
177,Sybil,4,77,82,PERSON,"People, including fictional"
177,Tivoli,4,113,119,GPE,"Countries, cities, states"
177,Rome,4,131,135,GPE,"Countries, cities, states"
177,about 10,4,136,144,TIME,Times smaller than a day
