page,text,p,start,end,type,description
342,"Monday, November 15, 1915",2,0,25,DATE,Absolute or relative dates or periods
342,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
342,The most heavenly day,4,2,23,DATE,Absolute or relative dates or periods
342,Ross,4,64,68,PERSON,"People, including fictional"
342,Dowdeswells,4,85,96,PERSON,"People, including fictional"
342,Savage Landon,4,98,111,PERSON,"People, including fictional"
342,England,4,148,155,GPE,"Countries, cities, states"
342,Karin,5,26,31,PERSON,"People, including fictional"
342,Ida Steury,5,46,56,PERSON,"People, including fictional"
342,Swiss,5,58,63,NORP,Nationalities or religious or political groups
342,6 years,5,78,85,DATE,Absolute or relative dates or periods
342,Herrans,5,95,102,PERSON,"People, including fictional"
