page,text,p,start,end,type,description
057,"Wednesday, February 3, 1915",2,0,27,DATE,Absolute or relative dates or periods
057,Geoffrey Scott,4,0,14,PERSON,"People, including fictional"
057,Giglioli,7,2,10,PERSON,"People, including fictional"
057,Cecil,7,25,30,PERSON,"People, including fictional"
057,the Earthquake Zone,7,75,94,LOC,"Non-GPE locations, mountain ranges, bodies of water"
057,Enniskillen,8,5,16,PERSON,"People, including fictional"
057,Benn,8,25,29,PERSON,"People, including fictional"
057,Dumonts,9,39,46,PERSON,"People, including fictional"
057,Blazo,9,91,96,PERSON,"People, including fictional"
057,Providence,9,100,110,GPE,"Countries, cities, states"
057,Geoffrey,9,135,143,PERSON,"People, including fictional"
057,afternoon,10,5,14,TIME,Times smaller than a day
057,Sybil’s,10,18,25,ORG,"Companies, agencies, institutions, etc."
