page,text,p,start,end,type,description
366,"Thursday, December 9, 1915",2,0,26,DATE,Absolute or relative dates or periods
366,Baldwin,4,5,12,PERSON,"People, including fictional"
366,Baldwin,6,35,42,PERSON,"People, including fictional"
366,2,6,54,55,TIME,Times smaller than a day
366,Dumonts,6,115,122,PERSON,"People, including fictional"
366,Marainis,6,127,135,PERSON,"People, including fictional"
366,Geoffrey,6,156,164,PERSON,"People, including fictional"
366,Sybil,6,183,188,PERSON,"People, including fictional"
366,BB,7,0,2,ORG,"Companies, agencies, institutions, etc."
366,Sybil,7,8,13,ORG,"Companies, agencies, institutions, etc."
366,Ammannati,8,2,11,PERSON,"People, including fictional"
366,86 francs,8,95,104,MONEY,"Monetary values, including unit"
