page,text,p,start,end,type,description
286,"Monday, September 20, 1915",2,0,26,DATE,Absolute or relative dates or periods
286,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
286,Cecil Pinsent,3,16,29,PERSON,"People, including fictional"
286,Dumont,5,15,21,PERSON,"People, including fictional"
286,Sybil,5,23,28,PERSON,"People, including fictional"
286,2,5,33,34,CARDINAL,Numerals that do not fall under another type
286,One,5,65,68,CARDINAL,Numerals that do not fall under another type
286,Bax,5,123,126,PERSON,"People, including fictional"
286,Gallipoli,5,160,169,GPE,"Countries, cities, states"
