page,text,p,start,end,type,description,wikidata,viaf,loc,notes
353,"Friday, November 26, 1915",2,0,25,DATE,Absolute or relative dates or periods,,,,
353,Geoffrey Scott,3,0,14,PERSON,"People, including fictional",,,,
353,Naima Lofroth,3,16,29,PERSON,"People, including fictional",,,,
353,BB,6,2,4,PERSON,"People, including fictional",,,,
353,Castel del Poggio,6,52,69,FAC,"Buildings, airports, highways, bridges, etc.",,,,
353,Naima,7,13,18,PERSON,"People, including fictional",,,,
353,Theatre,7,37,44,FAC,"Buildings, airports, highways, bridges, etc.",,,,
353,Goldoni,7,74,81,PERSON,"People, including fictional",,,,
353,Zago Company,7,83,95,ORG,"Companies, agencies, institutions, etc.",,,,
353,Le smanie per la villeg[g]iatura,7,97,129,WORK_OF_ART,"Titles of books, songs, etc.",,,,
353,Naima,8,15,20,PERSON,"People, including fictional",,,,
353,Margarita,8,58,67,PERSON,"People, including fictional",,,,
