page,text,p,start,end,type,description
387,"Thursday, December 30, 1915",2,0,27,DATE,Absolute or relative dates or periods
387,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
387,Julia,3,16,21,PERSON,"People, including fictional"
387,3,4,0,1,CARDINAL,Numerals that do not fall under another type
387,5,4,8,9,CARDINAL,Numerals that do not fall under another type
387,Julia,5,27,32,PERSON,"People, including fictional"
387,Salvemini,6,2,11,PERSON,"People, including fictional"
387,10 years,6,34,42,DATE,Absolute or relative dates or periods
387,Luchaire,6,103,111,PERSON,"People, including fictional"
387,Gui,6,138,141,PERSON,"People, including fictional"
387,Germany,7,48,55,GPE,"Countries, cities, states"
387,Geoffrey,8,2,10,PERSON,"People, including fictional"
