page,text,p,start,end,type,description
121,"Thursday, April 8, 1915",2,0,23,DATE,Absolute or relative dates or periods
121,Hotel Bastiani Grosseto,2,25,48,FAC,"Buildings, airports, highways, bridges, etc."
121,Pippa,3,0,5,PERSON,"People, including fictional"
121,Siena,6,5,10,GPE,"Countries, cities, states"
121,10:30,6,14,19,TIME,Times smaller than a day
121,Arcidosso,6,77,86,FAC,"Buildings, airports, highways, bridges, etc."
121,Rocca Albenga,6,91,104,FAC,"Buildings, airports, highways, bridges, etc."
121,Sacerdote,6,131,140,PERSON,"People, including fictional"
121,Poggio Ferrato,6,144,158,FAC,"Buildings, airports, highways, bridges, etc."
121,Andrea Chénier,7,24,38,WORK_OF_ART,"Titles of books, songs, etc."
