page,text,p,start,end,type,description
378,"Tuesday, December 21, 1915",2,0,26,DATE,Absolute or relative dates or periods
378,BB,4,59,61,PERSON,"People, including fictional"
378,San Clemente,4,72,84,GPE,"Countries, cities, states"
378,Sybil’s,4,101,108,ORG,"Companies, agencies, institutions, etc."
378,Marcella Michela,5,32,48,PERSON,"People, including fictional"
378,Yoï,6,2,5,PERSON,"People, including fictional"
378,Nello,6,10,15,PERSON,"People, including fictional"
378,first,6,49,54,ORDINAL,"""first"", ""second"", etc."
378,Roy Kennard,6,141,152,PERSON,"People, including fictional"
378,Baldwin,6,191,198,PERSON,"People, including fictional"
