page,text,p,start,end,type,description
036,"Wednesday, January 13, 1915",2,0,27,DATE,Absolute or relative dates or periods
036,Benn,4,6,10,PERSON,"People, including fictional"
036,Edmund,4,15,21,PERSON,"People, including fictional"
036,Mary Houghton,4,26,39,PERSON,"People, including fictional"
036,Cecil,4,44,49,PERSON,"People, including fictional"
036,Edmund,4,76,82,PERSON,"People, including fictional"
036,De Dion,4,94,101,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
036,those wonderful first days,4,179,205,DATE,Absolute or relative dates or periods
036,B.B.,5,2,6,PERSON,"People, including fictional"
036,Sybil,5,20,25,PERSON,"People, including fictional"
036,Cecil,6,2,7,PERSON,"People, including fictional"
036,Geoffrey,6,12,20,PERSON,"People, including fictional"
036,De Robeck,6,51,60,PERSON,"People, including fictional"
036,Hamilton,6,76,84,PERSON,"People, including fictional"
