page,text,p,start,end,type,description
359,"Thursday, December 2, 1915",2,0,26,DATE,Absolute or relative dates or periods
359,BB,5,25,27,PERSON,"People, including fictional"
359,Cohen,5,86,91,PERSON,"People, including fictional"
359,Dumont,5,98,104,PERSON,"People, including fictional"
359,Naima,5,106,111,PERSON,"People, including fictional"
359,Vida Daddi,5,127,137,PERSON,"People, including fictional"
359,Geoffrey,5,147,155,PERSON,"People, including fictional"
359,Villa Medici,5,159,171,FAC,"Buildings, airports, highways, bridges, etc."
359,BB,5,173,175,PERSON,"People, including fictional"
359,all day,5,183,190,DATE,Absolute or relative dates or periods
359,Inez Bossevain,6,11,25,PERSON,"People, including fictional"
359,Alys,6,27,31,PERSON,"People, including fictional"
359,Florence Baldwin,6,33,49,PERSON,"People, including fictional"
359,Sally Harlan,6,51,63,PERSON,"People, including fictional"
359,BB,6,65,67,PERSON,"People, including fictional"
