page,text,p,start,end,type,description
071,"Wednesday, February 17, 1915",2,0,28,DATE,Absolute or relative dates or periods
071,Margaret Strong,5,2,17,PERSON,"People, including fictional"
071,Vida Bispham,5,31,43,PERSON,"People, including fictional"
071,David,5,71,76,PERSON,"People, including fictional"
071,a lovely day,6,7,19,DATE,Absolute or relative dates or periods
071,BB,6,48,50,PERSON,"People, including fictional"
071,Sybil,6,68,73,PERSON,"People, including fictional"
071,Geoffrey,6,78,86,PERSON,"People, including fictional"
071,Geoffrey,6,103,111,PERSON,"People, including fictional"
071,Fiesole,6,147,154,GPE,"Countries, cities, states"
071,Castel di Poggio,6,162,178,FAC,"Buildings, airports, highways, bridges, etc."
071,Coraggio,7,78,86,PERSON,"People, including fictional"
071,Cecil,8,2,7,PERSON,"People, including fictional"
071,Balzorano,8,22,31,GPE,"Countries, cities, states"
