page,text,p,start,end,type,description
360,"Friday, December 3, 1915",2,1,25,DATE,Absolute or relative dates or periods
360,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
360,Lucien Henraux,7,17,31,PERSON,"People, including fictional"
360,Villa,7,48,53,FAC,"Buildings, airports, highways, bridges, etc."
360,Scandicci,7,57,66,FAC,"Buildings, airports, highways, bridges, etc."
360,BB,8,2,4,PERSON,"People, including fictional"
360,Sybil,8,18,23,PERSON,"People, including fictional"
360,Iris,8,28,32,PERSON,"People, including fictional"
360,Irene,8,34,39,PERSON,"People, including fictional"
360,Temple,8,41,47,PERSON,"People, including fictional"
360,Via delle Terme,8,66,81,FAC,"Buildings, airports, highways, bridges, etc."
360,Italian,8,100,107,NORP,Nationalities or religious or political groups
360,Sainati,9,56,63,NORP,Nationalities or religious or political groups
360,Geoffrey,10,0,8,PERSON,"People, including fictional"
360,second,10,39,45,ORDINAL,"""first"", ""second"", etc."
