page,text,p,start,end,type,description
381,"Friday, December 24, 1915",2,0,25,DATE,Absolute or relative dates or periods
381,Geoffrey Scott,3,0,14,PERSON,"People, including fictional"
381,Cecil Pinsent,3,16,29,PERSON,"People, including fictional"
381,Naima Lofroth,3,31,44,PERSON,"People, including fictional"
381,Julia,3,46,51,PERSON,"People, including fictional"
381,Julia,5,2,7,PERSON,"People, including fictional"
381,Academy,5,20,27,ORG,"Companies, agencies, institutions, etc."
381,Villa Medici,5,83,95,FAC,"Buildings, airports, highways, bridges, etc."
381,Julia,5,103,108,PERSON,"People, including fictional"
381,Sybil,5,118,123,PERSON,"People, including fictional"
381,half,5,257,261,CARDINAL,Numerals that do not fall under another type
381,Jiminy Whiskers,5,383,398,PERSON,"People, including fictional"
