page,text,p,start,end,type,description
069,"Monday, February 15, 1915",2,0,25,DATE,Absolute or relative dates or periods
069,Geoffrey Scott,4,0,14,PERSON,"People, including fictional"
069,Ross,6,17,21,PERSON,"People, including fictional"
069,Burmese,6,43,50,NORP,Nationalities or religious or political groups
069,my birthday,6,71,82,DATE,Absolute or relative dates or periods
069,Strongs,6,88,95,PERSON,"People, including fictional"
069,Herbert,6,105,112,PERSON,"People, including fictional"
069,Iris,6,132,136,PERSON,"People, including fictional"
069,Herbert,6,171,178,PERSON,"People, including fictional"
069,Nello,7,0,5,PERSON,"People, including fictional"
