page,text,p,start,end,type,description
170,"Thursday, May 27, 1915",2,0,22,DATE,Absolute or relative dates or periods
170,Hotel Brufani Perugia,2,24,45,FAC,"Buildings, airports, highways, bridges, etc."
170,Sybil,4,1,6,PERSON,"People, including fictional"
170,all day,4,15,22,DATE,Absolute or relative dates or periods
170,Mongiovino,4,38,48,GPE,"Countries, cities, states"
170,Church,4,60,66,FAC,"Buildings, airports, highways, bridges, etc."
170,Panicale,4,100,108,FAC,"Buildings, airports, highways, bridges, etc."
170,Loesers,5,37,44,PERSON,"People, including fictional"
170,pro-German,5,53,63,NORP,Nationalities or religious or political groups
170,BB,5,102,104,ORG,"Companies, agencies, institutions, etc."
