page,text,p,start,end,type,description
370,"Monday, December 13, 1915",2,0,25,DATE,Absolute or relative dates or periods
370,Geoffrey Scott,4,0,14,PERSON,"People, including fictional"
370,Baldwin,6,7,14,PERSON,"People, including fictional"
370,all day,6,60,67,DATE,Absolute or relative dates or periods
370,Sybil,6,114,119,PERSON,"People, including fictional"
370,Irene,6,124,129,PERSON,"People, including fictional"
370,Sybil,6,161,166,PERSON,"People, including fictional"
370,the evening,7,21,32,TIME,Times smaller than a day
370,Sybil,7,71,76,PERSON,"People, including fictional"
370,one,7,80,83,CARDINAL,Numerals that do not fall under another type
