page,text,p,start,end,type,description
076,"Monday, February 22, 1915",3,0,25,DATE,Absolute or relative dates or periods
076,Geoffrey Scott,4,0,14,PERSON,"People, including fictional"
076,night,7,285,290,TIME,Times smaller than a day
076,B.B.,7,321,325,PERSON,"People, including fictional"
076,Naomi,7,420,425,PERSON,"People, including fictional"
076,Belle Greene,7,597,609,PERSON,"People, including fictional"
076,Sybil,7,613,618,PERSON,"People, including fictional"
076,BB,7,694,696,PERSON,"People, including fictional"
076,Sybil,7,803,808,PERSON,"People, including fictional"
076,Cecil,7,815,820,PERSON,"People, including fictional"
