text,p,start,end,type,description
"Thursday February 12,1931",2,0,25,DATE,Absolute or relative dates or periods
Senda,3,0,5,ORG,"Companies, agencies, institutions, etc."
Trevy,3,7,12,ORG,"Companies, agencies, institutions, etc."
Signorina Accascina,4,0,19,PERSON,"People, including fictional"
Palermo,4,25,32,GPE,"Countries, cities, states"
Waterfields,4,52,63,PERSON,"People, including fictional"
Sands,4,72,77,PERSON,"People, including fictional"
Johnny,4,94,100,PERSON,"People, including fictional"
Sands,4,109,114,PERSON,"People, including fictional"
Lochoff,4,122,129,PERSON,"People, including fictional"
Lathrop,4,160,167,PERSON,"People, including fictional"
Vavalà,4,186,192,PERSON,"People, including fictional"
Castelfranco,4,202,214,PERSON,"People, including fictional"
Uffizi,4,223,229,ORG,"Companies, agencies, institutions, etc."
Senda,5,50,55,PERSON,"People, including fictional"
"Friday, February 13,1931",6,0,24,DATE,Absolute or relative dates or periods
Nesta de Roebeck,7,0,16,PERSON,"People, including fictional"
Sands,7,30,35,PERSON,"People, including fictional"
"Saturday, February 14,1931",8,0,26,DATE,Absolute or relative dates or periods
67th,9,3,7,ORDINAL,"""first"", ""second"", etc."
Nicky,9,27,32,PERSON,"People, including fictional"
Anreps,9,37,43,PERSON,"People, including fictional"
Senda,9,62,67,ORG,"Companies, agencies, institutions, etc."
Naima,9,82,87,ORG,"Companies, agencies, institutions, etc."
Byba,9,106,110,ORG,"Companies, agencies, institutions, etc."
Lina,9,125,129,ORG,"Companies, agencies, institutions, etc."
Johnny,9,143,149,PERSON,"People, including fictional"
"Sunday, February 15,1931",10,0,24,DATE,Absolute or relative dates or periods
BB,12,14,16,PERSON,"People, including fictional"
Senda,12,38,43,PERSON,"People, including fictional"
Nicky,12,89,94,PERSON,"People, including fictional"
Nicky,12,105,110,PERSON,"People, including fictional"
Alda,12,112,116,PERSON,"People, including fictional"
Naima,12,141,146,PERSON,"People, including fictional"
Cecil,12,184,189,PERSON,"People, including fictional"
Bertie,12,217,223,PERSON,"People, including fictional"
