text,p,start,end,type,description
France von Millizen,2,24,43,PERSON,"People, including fictional"
Earle,2,107,112,PERSON,"People, including fictional"
one,2,114,117,CARDINAL,Numerals that do not fall under another type
Berenson,2,204,212,PERSON,"People, including fictional"
Percy Lubbock,3,0,13,PERSON,"People, including fictional"
Friday [sic] [Saturday],4,0,23,DATE,Absolute or relative dates or periods
Nicky,5,0,5,PERSON,"People, including fictional"
43rd,5,8,12,ORDINAL,"""first"", ""second"", etc."
Cora,5,23,27,PERSON,"People, including fictional"
Maresciallo,5,47,58,PERSON,"People, including fictional"
Fiesole,5,62,69,ORG,"Companies, agencies, institutions, etc."
Alys,5,88,92,PERSON,"People, including fictional"
Naima,5,147,152,PERSON,"People, including fictional"
the night,5,162,171,TIME,Times smaller than a day
Stockholm,5,188,197,GPE,"Countries, cities, states"
tomorrow,5,198,206,DATE,Absolute or relative dates or periods
Lina,5,212,216,PERSON,"People, including fictional"
Aulla,5,243,248,PERSON,"People, including fictional"
"Sunday, December 14,1930",6,0,24,DATE,Absolute or relative dates or periods
Naima,7,0,5,PERSON,"People, including fictional"
Anreps,7,16,22,PERSON,"People, including fictional"
Cecil Pinsent,7,27,40,PERSON,"People, including fictional"
