text,p,start,end,type,description
"Wednesday, March 11,1931",2,0,24,DATE,Absolute or relative dates or periods
Ray,3,0,3,PERSON,"People, including fictional"
Lowenthal,3,10,19,PERSON,"People, including fictional"
Senda,3,21,26,PERSON,"People, including fictional"
Alys,3,28,32,PERSON,"People, including fictional"
Gibson,4,5,11,PERSON,"People, including fictional"
May Boyd,4,16,24,PERSON,"People, including fictional"
De Filippis,5,4,15,PERSON,"People, including fictional"
Galsial,5,48,55,PERSON,"People, including fictional"
"Thursday, March 12,1931",6,0,23,DATE,Absolute or relative dates or periods
Alys,7,0,4,PERSON,"People, including fictional"
5,7,13,14,TIME,Times smaller than a day
"Friday, March 13,1931",8,0,21,DATE,Absolute or relative dates or periods
Prestley,9,5,13,PERSON,"People, including fictional"
Nesta de Roebeck,9,15,31,PERSON,"People, including fictional"
Costers,9,40,47,PERSON,"People, including fictional"
Rohr,9,57,61,PERSON,"People, including fictional"
Blaw,9,66,70,PERSON,"People, including fictional"
Accascina,9,96,105,PERSON,"People, including fictional"
Castelfranco,9,120,132,PERSON,"People, including fictional"
Ray,9,156,159,PERSON,"People, including fictional"
midnight,9,190,198,TIME,Times smaller than a day
"Saturday, March 14,1931",10,0,23,DATE,Absolute or relative dates or periods
Iris,11,0,4,PERSON,"People, including fictional"
Curtis,11,20,26,PERSON,"People, including fictional"
Boston,11,30,36,GPE,"Countries, cities, states"
Cecil,11,41,46,PERSON,"People, including fictional"
Stanton,11,66,73,PERSON,"People, including fictional"
Rasponi,11,97,104,PERSON,"People, including fictional"
Lowenthal,11,123,132,PERSON,"People, including fictional"
Smith College,12,0,13,ORG,"Companies, agencies, institutions, etc."
the week,12,28,36,DATE,Absolute or relative dates or periods
"Sunday, March 15,1931",13,0,21,DATE,Absolute or relative dates or periods
Edmund,14,0,6,PERSON,"People, including fictional"
Mary Houghton,14,11,24,PERSON,"People, including fictional"
yesterday,14,43,52,DATE,Absolute or relative dates or periods
India,14,58,63,GPE,"Countries, cities, states"
Lochoff,14,65,72,PERSON,"People, including fictional"
Anreps,14,93,99,PERSON,"People, including fictional"
"Monday, March 15,1931",15,0,21,DATE,Absolute or relative dates or periods
