text,p,start,end,type,description
"Monday, December 15,1930",2,0,24,DATE,Absolute or relative dates or periods
Vavalà,3,0,6,PERSON,"People, including fictional"
2 nights,3,23,31,DATE,Absolute or relative dates or periods
Wiskermann,3,90,100,PERSON,"People, including fictional"
Lina,4,8,12,PERSON,"People, including fictional"
Morra,4,17,22,PERSON,"People, including fictional"
BB,4,42,44,PERSON,"People, including fictional"
Nicky,4,49,54,PERSON,"People, including fictional"
Hyères,4,64,70,GPE,"Countries, cities, states"
"Tuesday, December 16,1930",5,0,25,DATE,Absolute or relative dates or periods
Clark,6,25,30,PERSON,"People, including fictional"
Poggio Gherardo,6,34,49,FAC,"Buildings, airports, highways, bridges, etc."
Lina,6,75,79,PERSON,"People, including fictional"
the day,6,86,93,DATE,Absolute or relative dates or periods
Lina,6,102,106,PERSON,"People, including fictional"
7,6,127,128,CARDINAL,Numerals that do not fall under another type
the evening,6,149,160,TIME,Times smaller than a day
Barbara,6,187,194,PERSON,"People, including fictional"
midnight,6,206,214,TIME,Times smaller than a day
a week,6,234,240,DATE,Absolute or relative dates or periods
London,6,261,267,GPE,"Countries, cities, states"
