page,text,p,start,end,type,description,wikidata,viaf,loc,notes
238,"Friday, September 29, 1916",2,0,26,DATE,Absolute or relative dates or periods,,,,
238,Yoï,4,2,5,PERSON,"People, including fictional",,,,
238,7,4,21,22,TIME,Times smaller than a day,,,,
238,Hutton,4,24,30,PERSON,"People, including fictional",,,,
238,the afternoon,4,50,63,TIME,Times smaller than a day,,,,
238,Baroque,5,77,84,NORP,Nationalities or religious or political groups,,,,
238,Sybil,6,2,7,PERSON,"People, including fictional",,,,
238,two,6,24,27,CARDINAL,Numerals that do not fall under another type,,,,
238,English,6,47,54,NORP,Nationalities or religious or political groups,,,,
238,Red Cross,6,55,64,ORG,"Companies, agencies, institutions, etc.",,,,
238,Gorizia,6,68,75,GPE,"Countries, cities, states",,,,
238,Thompson,6,81,89,PERSON,"People, including fictional",,,,
238,Tadmin,6,98,104,PERSON,"People, including fictional",,,,
238,Ross,7,7,11,PERSON,"People, including fictional",,,,
238,Hutton,7,20,26,PERSON,"People, including fictional",,,,
238,American,8,24,32,NORP,Nationalities or religious or political groups,,,,
238,Venetian Painting in the Unites States,8,38,76,WORK_OF_ART,"Titles of books, songs, etc.",,,,
238,"Saturday, September 30, 1916,",10,1,30,DATE,Absolute or relative dates or periods,,,,
238,"Sunday, September 31, 1916",12,0,26,DATE,Absolute or relative dates or periods,,,,
238,Oliver,14,2,8,PERSON,"People, including fictional",,,,
238,Egypt,14,21,26,GPE,"Countries, cities, states",,,,
