page,text,p,start,end,type,description,wikidata,viaf,loc,notes
234,"Monday, September 25, 1916",2,0,26,DATE,Absolute or relative dates or periods,,,,
234,B.B.,4,0,4,PERSON,"People, including fictional",,,,
234,Sybil,4,16,21,PERSON,"People, including fictional",,,,
234,Janet,4,38,43,PERSON,"People, including fictional",,,,
234,Hutton,4,52,58,PERSON,"People, including fictional",,,,
234,Yoï,4,92,95,PERSON,"People, including fictional",,,,
234,Nello,4,108,113,PERSON,"People, including fictional",,,,
234,Fosco,4,160,165,PERSON,"People, including fictional",,,,
234,the German War,5,42,56,EVENT,"Named hurricanes, battles, wars, sports events, etc.",,,,
