page,text,p,start,end,type,description,wikidata,viaf,loc,notes
185,"Sunday, August 5",2,0,16,DATE,Absolute or relative dates or periods,,,,
185,Villa Bice,2,18,28,GPE,"Countries, cities, states",,,,
185,Massa di Marina,2,30,45,GPE,"Countries, cities, states",,,,
185,Geoffrey Scott,3,2,16,PERSON,"People, including fictional",,,,
185,Sybil Cutting,3,18,31,PERSON,"People, including fictional",,,,
185,Iris,3,33,37,PERSON,"People, including fictional",,,,
185,7.30,4,13,17,TIME,Times smaller than a day,,,,
185,12,4,45,47,TIME,Times smaller than a day,,,,
185,Sybil,5,8,13,PERSON,"People, including fictional",,,,
185,All morning,5,54,65,TIME,Times smaller than a day,,,,
185,Sybil,6,2,7,PERSON,"People, including fictional",,,,
