page,text,p,start,end,type,description,wikidata,viaf,loc,notes
144,"Thursday, June 8, 1916",2,0,22,DATE,Absolute or relative dates or periods,,,,
144,Caprarola,2,24,33,GPE,"Countries, cities, states",,,,
144,Rome,3,7,11,GPE,"Countries, cities, states",,,,
144,Placci,3,22,28,PERSON,"People, including fictional",,,,
144,Baldwin,3,103,110,PERSON,"People, including fictional",,,,
144,M. Morel,4,2,10,PERSON,"People, including fictional",,,,
144,Clemenceau,4,12,22,PERSON,"People, including fictional",,,,
144,June 9-10,5,0,9,DATE,Absolute or relative dates or periods,,,,
