page,text,p,start,end,type,description,wikidata,viaf,loc,notes
075,"Wednesday, March 8, 1916",2,0,24,DATE,Absolute or relative dates or periods,,,,
075,all morning,4,35,46,TIME,Times smaller than a day,,,,
075,Serristori,5,11,21,PERSON,"People, including fictional",,,,
075,Germany,5,50,57,GPE,"Countries, cities, states",,,,
075,England,5,159,166,GPE,"Countries, cities, states",,,,
075,Germany,5,319,326,GPE,"Countries, cities, states",,,,
075,England,5,407,414,GPE,"Countries, cities, states",,,,
075,The Union of Democratic Control,5,462,493,ORG,"Companies, agencies, institutions, etc.",,,,
075,Adrian,5,551,557,PERSON,"People, including fictional",,,,
075,"Thursday, March 9, 1916",7,0,23,DATE,Absolute or relative dates or periods,,,,
075,Geoffrey,10,18,26,PERSON,"People, including fictional",,,,
075,Cecil,10,32,37,PERSON,"People, including fictional",,,,
075,Marcella,10,90,98,PERSON,"People, including fictional",,,,
075,Spain,10,118,123,GPE,"Countries, cities, states",,,,
075,Cecil,10,142,147,PERSON,"People, including fictional",,,,
075,Paris,10,151,156,GPE,"Countries, cities, states",,,,
075,Cecil,10,295,300,PERSON,"People, including fictional",,,,
075,Genoa,10,319,324,GPE,"Countries, cities, states",,,,
075,the 25th,10,328,336,DATE,Absolute or relative dates or periods,,,,
075,Marcella,10,395,403,PERSON,"People, including fictional",,,,
075,Cecil,11,39,44,PERSON,"People, including fictional",,,,
075,Geoffrey,11,79,87,PERSON,"People, including fictional",,,,
075,Turin,11,91,96,GPE,"Countries, cities, states",,,,
075,Paris,11,108,113,GPE,"Countries, cities, states",,,,
075,Marcella,11,115,123,PERSON,"People, including fictional",,,,
075,the end of next week,11,197,217,DATE,Absolute or relative dates or periods,,,,
075,this week,11,227,236,DATE,Absolute or relative dates or periods,,,,
075,this weekend,11,298,310,DATE,Absolute or relative dates or periods,,,,
075,Trench,12,2,8,PERSON,"People, including fictional",,,,
075,Aris,12,26,30,PERSON,"People, including fictional",,,,
075,Cecil,12,45,50,PERSON,"People, including fictional",,,,
075,Marainis,12,56,64,NORP,Nationalities or religious or political groups,,,,
075,Yoï,13,2,5,PERSON,"People, including fictional",,,,
