page,text,p,start,end,type,description,wikidata,viaf,loc,notes
112,"Tuesday, May 2, 1916",2,0,20,DATE,Absolute or relative dates or periods,,,,
112,Geoffrey Scott,3,2,16,PERSON,"People, including fictional",,,,
112,Garrett,3,23,30,PERSON,"People, including fictional",,,,
112,Walter Berry,3,32,44,PERSON,"People, including fictional",,,,
112,Leon Bakst,3,46,56,PERSON,"People, including fictional",,,,
112,the morning,5,29,40,TIME,Times smaller than a day,,,,
112,the afternoon,6,5,18,TIME,Times smaller than a day,,,,
112,the evening,7,5,16,TIME,Times smaller than a day,,,,
112,Henraux,7,21,28,PERSON,"People, including fictional",,,,
112,Jeanne Piccolelli,7,44,61,PERSON,"People, including fictional",,,,
112,Tarantella,7,82,92,PERSON,"People, including fictional",,,,
112,Neapolitan,7,96,106,NORP,Nationalities or religious or political groups,,,,
112,Marainis,7,120,128,PERSON,"People, including fictional",,,,
112,Paul,7,140,144,PERSON,"People, including fictional",,,,
