page,text,p,start,end,type,description,wikidata,viaf,loc,notes
245,"Thursday, October 5, 1916",2,0,25,DATE,Absolute or relative dates or periods,,,,
245,Belle Greene,4,81,93,PERSON,"People, including fictional",,,,
245,London,4,132,138,GPE,"Countries, cities, states",,,,
245,two weeks,4,176,185,DATE,Absolute or relative dates or periods,,,,
245,Paris,4,189,194,GPE,"Countries, cities, states",,,,
245,London,4,212,218,GPE,"Countries, cities, states",,,,
245,Paris,5,42,47,GPE,"Countries, cities, states",,,,
