page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0230,"Tuesday, March 15, 1892",1,0,23,DATE,Absolute or relative dates or periods,,,,
0230,Florence,1,25,33,GPE,"Countries, cities, states",,,,
0230,the Palazzo Vecchio,2,11,30,FAC,"Buildings, airports, highways, bridges, etc.",,,,
0230,this morning,2,31,43,TIME,Times smaller than a day,,,,
0230,Salviatis,2,74,83,PERSON,"People, including fictional",,,,
0230,Vasaris,2,88,95,PERSON,"People, including fictional",,,,
0230,Eleanora,2,205,213,PERSON,"People, including fictional",,,,
0230,Toledo,2,217,223,GPE,"Countries, cities, states",,,,
0230,Bronzino,2,263,271,PERSON,"People, including fictional",,,,
0230,One,2,273,276,CARDINAL,Numerals that do not fall under another type,,,,
0230,the Red Sea,2,317,328,LOC,"Non-GPE locations, mountain ranges, bodies of water",,,,
0230,Besnard,2,390,397,PERSON,"People, including fictional",,,,
0230,Besnard,2,441,448,PERSON,"People, including fictional",,,,
0230,Badia,3,20,25,PERSON,"People, including fictional",,,,
0230,Uffizi,3,43,49,PERSON,"People, including fictional",,,,
0230,Costa,3,64,69,PERSON,"People, including fictional",,,,
0230,Italian,4,9,16,LANGUAGE,Any named language,,,,
0230,Foote,5,16,21,PERSON,"People, including fictional",,,,
0230,Arnold,5,31,37,PERSON,"People, including fictional",,,,
0230,Harold,5,42,48,PERSON,"People, including fictional",,,,
0230,B.’s,6,15,19,ORG,"Companies, agencies, institutions, etc.",,,,
0230,Adams,6,55,60,PERSON,"People, including fictional",,,,
0230,Jenkins,6,69,76,PERSON,"People, including fictional",,,,
0230,the evening,7,3,14,TIME,Times smaller than a day,,,,
0230,B.,7,36,38,PERSON,"People, including fictional",,,,
0230,Creighton,7,44,53,ORG,"Companies, agencies, institutions, etc.",,,,
