page,text,p,start,end,type,description,wikidata,viaf,loc,notes
0058,"July 12, 1891",1,0,13,DATE,Absolute or relative dates or periods,,,,
0058,next winter,4,41,52,DATE,Absolute or relative dates or periods,,,,
0058,Florence,4,56,64,GPE,"Countries, cities, states",,,,
0058,Burton,4,75,81,PERSON,"People, including fictional",,,,
0058,England,10,127,134,GPE,"Countries, cities, states",,,,
0058,two,10,377,380,CARDINAL,Numerals that do not fall under another type,,,,
0058,London,14,662,668,GPE,"Countries, cities, states",,,,
0058,English,15,10,17,NORP,Nationalities or religious or political groups,,,,
0058,London,16,94,100,GPE,"Countries, cities, states",,,,
0058,English,16,163,170,NORP,Nationalities or religious or political groups,,,,
0058,Florence,16,261,269,GPE,"Countries, cities, states",,,,
0058,English,16,292,299,NORP,Nationalities or religious or political groups,,,,
0058,Berenson,16,319,327,PERSON,"People, including fictional",,,,
0058,just six years,16,697,711,DATE,Absolute or relative dates or periods,,,,
0058,Berenson,18,179,187,PERSON,"People, including fictional",,,,
0058,Christians,19,555,565,NORP,Nationalities or religious or political groups,,,,
0058,Edmund Gurney,19,728,741,PERSON,"People, including fictional",,,,
